sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
深证200,10.57,-74.01,-67.77,240.85,22.82,17,10,30.70,0.48,1723,1.97,7.93,104.32,0.34,55.40,2020-11-02
深证200-择时,1.92,-17.91,-13.04,21.57,1.54,3,4,6.87,0.31,998,0.44,0.00,8.43,0.28,53.36,平仓
深证700,13.16,-68.97,-63.32,273.15,26.27,17,10,30.45,0.56,916,1.95,12.55,111.00,0.43,55.98,2020-11-02
深证700-择时,0.96,-18.48,-17.39,19.83,0.86,3,4,7.24,0.17,1005,0.46,0.00,6.25,0.13,47.69,平仓
深证1000,12.33,-71.92,-68.75,279.17,24.48,17,10,28.97,0.55,1738,1.85,6.98,106.58,0.43,54.86,2020-11-02
深证1000-择时,4.43,-10.14,-6.70,29.85,4.48,3,3,6.99,0.65,348,0.45,0.66,13.92,0.63,55.78,平仓
深证创业300,18.28,-70.20,-45.70,222.28,19.48,9,8,31.35,0.69,137,2.01,7.87,76.14,0.58,52.40,2020-11-02
深证创业300-择时,1.34,-29.87,-21.87,21.89,0.44,3,5,8.97,0.19,288,0.57,2.34,10.80,0.15,45.54,平仓
深市精选,10.62,-58.52,-43.44,156.75,7.46,10,9,26.02,0.52,22,1.67,3.20,40.65,0.41,53.84,2020-11-02
深市精选-择时,5.69,-11.63,-5.56,16.63,5.08,2,5,9.99,0.60,293,0.64,6.40,12.27,0.57,51.99,平仓
深证中小创新,-2.52,-69.41,-44.30,54.62,-4.66,9,8,30.10,0.07,7,1.93,-7.52,25.19,-0.08,53.33,2020-11-02
深证中小创新-择时,2.14,-14.44,-10.05,15.65,2.01,2,3,10.42,0.25,507,0.67,2.28,8.72,0.20,46.72,平仓
深证A指,8.27,-71.06,-67.62,261.56,15.27,17,10,27.16,0.43,1723,1.74,-0.14,81.32,0.30,54.26,2020-11-02
深证A指-择时,2.47,-28.55,-23.97,45.16,2.91,3,4,10.01,0.29,1590,0.64,2.18,13.09,0.25,52.49,平仓
深证B指,12.21,-72.36,-72.27,384.21,21.43,12,10,27.46,0.56,1356,1.76,3.89,98.95,0.44,53.32,2020-11-02
深证B指-择时,3.54,-41.55,-36.64,28.38,4.18,3,4,11.74,0.35,3171,0.75,4.75,14.81,0.30,49.74,平仓
深信用债,5.21,-1.48,1.59,10.41,5.48,85,7,0.75,6.79,144,0.05,5.30,9.20,6.96,76.91,2020-11-02
深信用债-择时,0.20,-0.68,-0.63,1.35,0.16,2,4,0.33,0.60,447,0.02,0.17,0.82,0.60,51.30,做多
深公司债,5.24,-1.63,1.52,10.49,5.53,40,10,0.76,6.74,144,0.05,5.50,9.28,6.91,76.08,2020-11-02
深公司债-择时,0.32,-0.52,-0.40,0.90,0.26,2,4,0.32,1.01,387,0.02,0.28,0.58,1.01,52.14,做多
深证ETF,8.19,-45.47,-40.15,143.84,11.57,11,9,24.01,0.45,1235,1.54,6.33,44.03,0.34,51.27,2020-11-02
深证ETF-择时,0.23,-20.70,-20.17,18.49,0.40,3,5,9.80,0.07,1199,0.63,1.23,9.46,0.02,50.41,平仓
深证转债,11.09,-55.06,-46.25,67.98,5.71,8,17,23.39,0.57,32,1.50,-1.55,30.96,0.47,51.69,2020-11-02
深证转债-择时,7.02,-11.79,-10.45,37.66,6.02,2,4,12.24,0.61,945,0.78,2.76,17.02,0.57,52.38,平仓
深证红利,15.18,-70.31,-69.13,388.15,26.18,12,11,27.88,0.65,2386,1.79,7.42,93.49,0.54,52.51,2020-11-02
深证红利-择时,0.71,-22.04,-16.62,23.65,0.62,3,4,9.56,0.12,2246,0.61,0.00,10.22,0.07,47.16,平仓
深证100,10.98,-71.56,-70.19,327.81,20.90,14,10,27.70,0.52,1862,1.77,3.69,94.95,0.40,52.89,2020-11-02
深证100-择时,3.31,-17.05,-15.10,30.04,3.20,3,4,10.42,0.36,1220,0.67,0.89,14.26,0.32,50.87,平仓
深证中小板R,15.63,-67.15,-60.83,189.55,21.76,17,10,29.49,0.64,1053,1.89,10.24,93.53,0.53,54.94,2020-11-02
深证中小板R-择时,2.30,-31.01,-28.91,37.20,2.49,3,6,10.85,0.26,2526,0.69,1.16,14.62,0.21,52.37,平仓
巨潮大中盘,6.93,-50.28,-45.21,154.05,11.75,12,8,23.38,0.40,430,1.50,7.81,47.55,0.30,52.08,2020-11-02
巨潮大中盘-择时,12.47,-8.79,-5.80,48.66,13.24,2,5,9.63,1.27,468,0.62,8.80,32.37,1.29,52.87,平仓
巨潮中小盘,6.82,-67.47,-50.39,196.80,10.74,10,7,26.72,0.38,116,1.71,0.39,46.53,0.26,54.39,2020-11-02
巨潮中小盘-择时,8.33,-11.55,-7.58,36.93,8.23,3,4,10.53,0.81,351,0.67,5.43,25.49,0.79,54.94,平仓
深证中小红利,16.14,-50.47,-42.64,158.11,18.54,10,9,26.22,0.70,1232,1.68,18.54,43.56,0.62,54.09,2020-11-02
深证中小红利-择时,4.21,-16.06,-13.48,20.27,4.30,2,3,9.23,0.49,287,0.59,3.39,16.55,0.46,53.95,平仓
