sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连粳米2012-择时,-3.75,-7.45,-6.36,-2.82,-4.29,6,10,4.61,-0.81,72,0.30,-4.16,-3.00,-0.81,47.45
郑油菜籽011,2.58,-34.83,-31.59,50.94,-0.32,8,10,22.83,0.23,438,1.46,-1.62,30.55,0.11,48.66
郑油菜籽011-择时,-16.20,-63.52,-43.68,0.92,-15.71,7,10,14.28,-1.17,84,0.91,-9.33,-2.36,-1.13,47.86
沪天胶2101,-4.27,-92.39,-55.07,116.08,-2.35,9,10,27.98,-0.02,1085,1.79,-9.22,43.46,-0.15,50.93
沪天胶2101-择时,11.89,-41.54,-29.77,94.38,14.53,9,8,21.07,0.64,753,1.35,13.18,45.38,0.56,50.00
中质含硫原油2012,-32.02,-74.02,-61.89,27.19,-24.88,7,9,33.19,-1.00,28,2.13,-22.55,3.15,-0.96,49.09
中质含硫原油2012-择时,9.74,-22.78,-20.84,21.07,2.61,7,8,18.43,0.60,310,1.18,4.02,15.17,0.53,53.06
郑硅铁101,-1.72,-41.34,-37.63,65.27,1.84,13,7,22.52,0.04,736,1.44,-4.43,44.65,-0.08,50.97
郑硅铁101-择时,15.33,-33.26,-30.24,109.78,25.02,6,8,16.62,0.94,315,1.06,21.36,78.06,0.92,50.83
郑锰硅101,10.71,-45.29,-44.34,185.90,25.82,11,8,23.98,0.54,391,1.53,13.63,70.77,0.45,50.54
郑锰硅101-择时,16.13,-29.09,-20.28,99.06,24.14,11,8,16.46,0.99,109,1.05,18.56,66.28,0.98,51.70
沪锡2101,2.65,-35.80,-27.55,79.09,5.97,8,9,18.36,0.23,329,1.18,-2.00,30.67,0.14,49.62
沪锡2101-择时,-5.05,-42.54,-30.45,25.23,-5.07,8,8,10.11,-0.46,112,0.65,-6.35,11.88,-0.50,47.07
沪纸浆2012,-12.47,-26.55,-22.05,-3.17,-13.65,7,5,14.09,-0.88,37,0.90,-13.53,-7.95,-0.88,48.31
沪纸浆2012-择时,-3.03,-13.73,-10.64,3.95,-5.48,6,9,8.35,-0.33,73,0.53,-6.11,-2.26,-0.36,46.50
郑白糖101,-3.72,-68.70,-47.39,57.31,-1.12,11,9,17.85,-0.12,4,1.14,-2.26,19.90,-0.21,49.79
郑白糖101-择时,2.56,-25.65,-18.80,46.82,2.78,10,10,11.10,0.28,223,0.71,1.90,14.19,0.23,48.48
沪不锈钢2101,-8.78,-25.49,-10.83,-1.63,-6.71,7,6,18.84,-0.40,4,1.21,-7.23,-2.56,-0.47,48.62
沪不锈钢2101-择时,1.59,-8.52,2.90,9.37,6.99,6,6,9.59,0.21,55,0.61,7.19,8.46,0.17,50.20
10年期国债期货2012,1.64,-7.55,-5.94,9.28,2.01,7,7,4.25,0.40,679,0.27,2.21,6.39,0.39,51.05
10年期国债期货2012-择时,0.91,-2.94,-1.40,5.33,1.15,6,11,2.33,0.40,434,0.15,0.92,3.37,0.39,47.61
郑PTA101,-6.39,-68.73,-50.87,69.40,-2.33,10,9,20.86,-0.21,633,1.34,-3.78,23.88,-0.31,49.94
郑PTA101-择时,12.56,-40.67,-31.09,79.80,14.75,9,11,15.29,0.85,932,0.98,11.10,47.51,0.82,49.79
5年期国债期货2012,0.62,-5.42,-4.83,7.77,1.22,13,9,3.04,0.22,793,0.19,1.62,3.88,0.20,51.95
5年期国债期货2012-择时,1.00,-3.29,-2.89,4.86,1.13,9,8,1.66,0.60,475,0.11,1.01,2.98,0.60,50.53
2年期国债期货2012,1.30,-2.26,0.61,3.68,1.61,7,7,1.14,1.14,77,0.07,1.48,2.82,1.14,54.40
2年期国债期货2012-择时,0.60,-0.44,-0.02,1.68,0.79,7,7,0.61,0.98,139,0.04,0.88,1.51,0.98,50.80
郑尿素101,9.99,-12.99,-3.49,13.04,2.92,6,10,18.15,0.62,217,1.16,2.13,9.92,0.55,52.67
郑尿素101-择时,7.48,-8.49,1.98,8.89,4.83,10,8,9.95,0.78,33,0.64,4.76,7.04,0.75,52.67
连PVC2101,-2.36,-65.64,-36.90,86.89,-1.98,9,9,17.03,-0.06,35,1.09,-4.93,21.86,-0.14,49.18
连PVC2101-择时,4.04,-15.05,-10.37,27.25,4.30,8,10,9.96,0.45,1213,0.64,3.05,16.17,0.41,49.21
郑强麦101,-5.72,-67.86,-35.51,24.45,-5.33,12,9,11.53,-0.45,228,0.74,-5.02,8.63,-0.50,50.08
郑强麦101-择时,0.48,-26.29,-17.17,25.15,0.78,11,9,7.35,0.10,142,0.47,-0.33,10.98,0.07,48.87
沪线材2102,9.03,-70.58,-43.70,105.01,12.98,11,8,21.00,0.51,2131,1.34,2.67,59.42,0.43,51.54
沪线材2102-择时,0.18,-37.76,-25.57,41.27,0.57,9,8,12.48,0.08,123,0.80,1.21,18.60,0.01,50.80
连豆油2101,-1.43,-79.06,-56.54,124.49,-0.52,11,8,19.18,0.02,95,1.23,-6.38,30.30,-0.07,50.53
连豆油2101-择时,2.33,-24.75,-19.65,39.89,2.75,9,10,12.50,0.25,622,0.80,2.49,13.01,0.19,49.44
郑动力煤101,7.69,-54.41,-39.66,95.16,12.30,7,11,18.41,0.49,803,1.18,4.38,66.09,0.42,49.70
郑动力煤101-择时,-0.52,-17.39,-12.90,25.47,0.52,12,9,10.69,0.00,354,0.68,-0.96,10.73,-0.05,52.21
沪锌2012,-3.50,-78.99,-70.65,97.19,0.50,8,7,23.40,-0.04,7,1.50,-1.28,45.37,-0.15,51.24
沪锌2012-择时,-0.17,-55.36,-29.88,72.29,-0.56,7,10,14.33,0.06,186,0.92,-3.52,23.09,-0.01,48.34
