sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
郑PTA101-高阶择时,10.56,-56.43,-48.01,146.30,16.49,9,11,20.72,0.59,1097,1.33,8.31,67.11,0.51,50.53,做多
5年期国债期货2012,0.55,-5.42,-4.83,7.77,1.23,13,9,3.03,0.20,793,0.19,1.63,3.88,0.18,51.86,2020-11-16
5年期国债期货2012-高阶择时,0.54,-5.61,-4.43,6.88,1.06,9,8,2.87,0.20,641,0.18,0.90,4.20,0.19,50.71,做多
2年期国债期货2012,1.16,-2.32,0.60,3.68,1.59,7,7,1.13,1.03,77,0.07,1.47,2.75,1.03,53.94,2020-11-16
2年期国债期货2012-高阶择时,-0.24,-1.40,-0.61,0.93,0.15,7,6,1.07,-0.22,138,0.07,0.17,0.61,-0.22,48.69,做多
郑尿素101,11.63,-12.99,-3.49,18.48,4.60,6,10,18.37,0.69,217,1.18,3.32,13.06,0.63,53.26,2020-11-16
郑尿素101-高阶择时,10.96,-18.77,-5.12,13.94,2.70,4,5,15.21,0.76,141,0.97,0.52,10.06,0.72,49.04,做多
连PVC2101,-1.86,-65.64,-36.90,86.89,-1.92,9,9,17.10,-0.02,35,1.09,-4.87,21.58,-0.11,49.22,2020-11-16
连PVC2101-高阶择时,-0.36,-54.31,-29.93,51.49,0.84,7,10,16.41,0.06,85,1.05,-1.46,21.03,-0.02,48.29,做多
郑强麦101,-5.72,-67.86,-35.51,24.45,-5.31,12,9,11.52,-0.45,228,0.74,-4.95,8.60,-0.50,50.09,2020-11-16
郑强麦101-高阶择时,0.56,-29.13,-23.51,32.59,1.24,10,9,11.07,0.11,203,0.71,0.49,13.22,0.05,49.25,做空
沪线材2102,9.00,-70.58,-43.70,105.01,13.03,11,8,20.96,0.51,2131,1.34,2.71,59.32,0.43,51.54,2020-11-16
沪线材2102-高阶择时,-4.30,-56.78,-41.06,33.81,-3.03,11,7,20.02,-0.11,81,1.28,-0.61,15.53,-0.21,49.91,做空
连豆油2101,-1.02,-79.06,-56.54,124.49,-0.46,11,8,19.19,0.04,95,1.23,-6.35,30.25,-0.05,50.58,2020-11-16
连豆油2101-高阶择时,3.80,-35.11,-25.28,48.58,5.04,7,9,19.08,0.29,1042,1.22,4.59,24.74,0.20,50.43,做空
郑动力煤101,8.10,-54.41,-39.66,95.16,12.34,7,11,18.42,0.52,803,1.18,4.46,65.97,0.44,49.76,2020-11-16
郑动力煤101-高阶择时,1.11,-33.99,-26.88,43.51,3.89,10,8,18.06,0.15,570,1.16,2.70,24.09,0.06,51.00,做多
沪锌2012,-3.33,-78.99,-70.65,97.19,0.52,8,7,23.38,-0.03,7,1.50,-1.23,45.33,-0.14,51.28,2020-11-16
沪锌2012-高阶择时,0.81,-68.90,-42.90,124.58,2.16,7,10,22.51,0.15,237,1.44,-1.67,44.12,0.04,48.78,做多
