sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
深证ETF-择时,1.27,-29.93,-17.24,56.08,3.01,9,10,14.89,0.16,891,0.95,0.91,18.82,0.09,49.52
深证转债,10.99,-55.06,-46.25,67.98,5.84,8,17,23.33,0.57,32,1.49,-1.48,30.78,0.47,51.68
深证转债-择时,5.01,-23.54,-21.54,23.12,4.81,17,9,14.72,0.41,945,0.94,3.55,16.63,0.34,50.36
深证红利,15.56,-70.31,-69.13,388.15,26.18,12,11,27.87,0.66,2386,1.78,7.47,93.14,0.56,52.55
深证红利-择时,12.27,-30.98,-30.18,120.80,15.19,12,10,23.45,0.61,714,1.50,7.79,54.95,0.52,52.64
深证100,11.20,-71.56,-70.19,327.81,20.96,14,10,27.69,0.52,1862,1.77,3.78,94.63,0.40,52.91
深证100-择时,11.47,-44.44,-34.74,117.40,15.13,14,11,22.60,0.59,841,1.45,7.56,57.89,0.51,52.63
深证中小板R,15.73,-67.15,-60.83,189.55,21.84,17,10,29.47,0.64,1053,1.89,10.36,93.39,0.53,54.95
深证中小板R-择时,10.59,-36.74,-30.74,125.92,15.05,17,12,22.03,0.57,741,1.41,7.57,49.71,0.48,53.09
巨潮大中盘,7.34,-50.28,-45.21,154.05,11.83,12,8,23.35,0.42,430,1.49,7.94,47.41,0.31,52.12
巨潮大中盘-择时,6.36,-17.58,-9.14,61.50,9.39,12,11,12.36,0.56,649,0.79,3.28,38.09,0.51,49.36
巨潮中小盘,7.29,-67.47,-50.39,196.80,10.86,10,7,26.69,0.40,116,1.71,0.50,46.48,0.27,54.37
巨潮中小盘-择时,5.22,-24.67,-24.53,91.43,8.02,10,12,15.11,0.41,705,0.97,1.53,42.64,0.35,49.97
深证中小红利,16.31,-50.47,-42.64,158.11,18.63,10,9,26.18,0.71,1232,1.68,18.67,43.49,0.62,54.07
深证中小红利-择时,7.70,-19.08,-13.96,76.50,10.33,8,16,16.03,0.54,506,1.03,5.23,44.30,0.48,50.52
