sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
深证创业300,18.28,-70.20,-45.70,222.28,19.48,9,8,31.35,0.69,137,2.01,7.87,76.14,0.58,52.40,2020-11-02
深证创业300-择时,2.41,-63.25,-38.35,305.61,19.34,9,7,31.38,0.23,442,2.01,-6.08,136.87,0.08,50.97,做空
深市精选,10.62,-58.52,-43.44,156.75,7.46,10,9,26.02,0.52,22,1.67,3.20,40.65,0.41,53.84,2020-11-02
深市精选-择时,3.42,-50.80,-42.78,106.68,10.14,10,10,26.03,0.26,81,1.67,6.97,55.34,0.13,50.90,做多
深证中小创新,-2.52,-69.41,-44.30,54.62,-4.66,9,8,30.10,0.07,7,1.93,-7.52,25.19,-0.08,53.33,2020-11-02
深证中小创新-择时,3.27,-44.41,-39.93,73.48,-0.22,8,10,30.10,0.26,10,1.93,-0.55,22.38,0.11,50.70,做空
深证A指,8.27,-71.06,-67.62,261.56,15.27,17,10,27.16,0.43,1723,1.74,-0.14,81.32,0.30,54.26,2020-11-02
深证A指-择时,20.66,-54.12,-37.31,177.88,27.67,17,11,27.14,0.83,729,1.74,15.30,86.81,0.76,54.15,做空
深证B指,12.21,-72.36,-72.27,384.21,21.43,12,10,27.46,0.56,1356,1.76,3.89,98.95,0.44,53.32,2020-11-02
深证B指-择时,23.81,-50.41,-44.78,264.45,31.87,12,11,27.43,0.92,363,1.76,22.59,80.08,0.87,52.13,做空
深信用债,5.21,-1.48,1.59,10.41,5.48,85,7,0.75,6.79,144,0.05,5.30,9.20,6.96,76.91,2020-11-02
深信用债-择时,5.58,-0.51,2.18,10.79,5.76,85,6,0.74,7.36,75,0.05,5.38,9.54,7.56,76.64,做多
深公司债,5.24,-1.63,1.52,10.49,5.53,40,10,0.76,6.74,144,0.05,5.50,9.28,6.91,76.08,2020-11-02
深公司债-择时,5.53,-0.76,2.12,10.69,5.74,40,7,0.75,7.17,95,0.05,5.58,9.21,7.36,76.47,做多
深证ETF,8.19,-45.47,-40.15,143.84,11.57,11,9,24.01,0.45,1235,1.54,6.33,44.03,0.34,51.27,2020-11-02
深证ETF-择时,-0.61,-46.82,-30.60,119.04,1.95,8,9,24.02,0.09,762,1.54,-1.37,26.69,-0.03,49.51,做空
深证转债,11.09,-55.06,-46.25,67.98,5.71,8,17,23.39,0.57,32,1.50,-1.55,30.96,0.47,51.69,2020-11-02
