sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
沪螺钢2101-择时,17.87,-51.12,-37.39,172.33,20.87,11,7,21.39,0.88,258,1.37,16.32,51.57,0.84,52.45,做多
郑籼稻011,-2.72,-44.51,-23.41,56.47,-1.40,7,8,13.82,-0.13,30,0.88,-5.36,35.75,-0.20,47.27,2020-10-13
郑籼稻011-择时,-4.54,-53.97,-44.04,32.72,-0.87,8,10,13.82,-0.27,335,0.88,2.39,14.40,-0.33,48.54,做空
郑菜籽粕101,6.03,-32.43,-25.40,48.33,4.99,11,10,20.44,0.39,501,1.31,4.03,22.61,0.30,50.94,2020-11-16
郑菜籽粕101-择时,-11.07,-65.92,-45.66,32.38,-4.37,8,10,20.44,-0.47,834,1.31,-2.38,17.68,-0.54,47.33,做空
连粳米2101,-9.72,-13.78,-12.94,-8.77,-11.15,6,9,9.59,-1.02,NaN,0.61,-11.01,-9.78,-1.01,44.88,2020-11-16
连粳米2101-择时,3.92,-8.88,-1.85,9.20,4.24,6,8,9.61,0.45,72,0.62,4.79,8.32,0.41,48.41,做多
郑油菜籽011,2.58,-34.83,-31.59,50.94,-0.32,8,10,22.83,0.23,438,1.46,-1.62,30.55,0.11,48.66,2020-11-02
郑油菜籽011-择时,-18.88,-73.06,-59.02,7.87,-16.99,8,10,22.80,-0.80,163,1.46,-13.47,3.28,-0.83,49.53,做多
沪天胶2101,-4.70,-92.39,-55.07,116.08,-2.33,9,10,27.99,-0.03,1085,1.79,-9.11,43.37,-0.17,50.88,2020-11-16
沪天胶2101-择时,14.83,-49.68,-38.13,181.26,21.99,9,8,27.97,0.63,621,1.79,13.30,71.39,0.53,50.34,做空
中质含硫原油2101,-29.97,-74.34,-62.53,27.19,-25.78,7,9,33.31,-0.90,28,2.13,-23.68,3.08,-0.90,49.02,2020-11-16
中质含硫原油2101-择时,25.09,-34.75,-30.84,68.35,18.46,8,8,33.32,0.84,291,2.13,22.48,45.01,0.75,52.28,做空
郑硅铁101,-1.31,-41.34,-37.63,65.27,1.88,13,7,22.49,0.05,736,1.44,-4.19,44.60,-0.06,50.89,2020-11-16
郑硅铁101-择时,6.48,-49.30,-46.15,137.73,16.85,10,8,22.48,0.39,431,1.44,3.14,68.20,0.29,49.68,做多
郑锰硅101,11.36,-45.29,-44.34,185.90,25.59,11,8,23.92,0.57,391,1.53,13.35,70.74,0.47,50.61,2020-11-16
郑锰硅101-择时,27.89,-27.37,-23.96,144.30,40.51,11,8,23.87,1.15,114,1.53,33.67,104.24,1.17,52.20,做多
沪锡2101,3.10,-35.80,-27.55,79.09,6.06,8,9,18.31,0.26,329,1.17,-1.90,30.60,0.17,49.63,2020-11-16
沪锡2101-择时,-4.20,-63.98,-53.20,56.03,-5.44,8,9,18.31,-0.14,163,1.17,-6.52,37.42,-0.23,47.39,做多
沪纸浆2101,-11.80,-27.25,-22.05,-3.17,-13.47,7,5,14.03,-0.83,37,0.90,-12.99,-7.95,-0.84,48.67,2020-11-16
沪纸浆2101-择时,-5.06,-28.11,-23.59,2.27,-13.38,6,9,14.05,-0.30,17,0.90,-14.43,-6.44,-0.36,44.91,做空
郑白糖101,-3.81,-68.70,-47.39,57.31,-1.13,11,9,17.84,-0.13,4,1.14,-2.32,19.89,-0.21,49.79,2020-11-16
郑白糖101-择时,3.90,-43.51,-28.05,68.76,3.79,9,10,17.84,0.30,392,1.14,1.25,26.58,0.22,48.65,做空
沪不锈钢2101,-11.75,-25.49,-10.83,-1.63,-6.71,7,6,18.73,-0.58,4,1.20,-7.23,-3.46,-0.63,48.29,2020-11-16
沪不锈钢2101-择时,16.92,-13.49,15.59,31.36,24.60,6,6,18.71,0.93,60,1.20,25.99,29.91,0.90,51.71,做空
10年期国债期货2012,1.55,-7.55,-5.94,9.28,2.01,7,7,4.25,0.38,679,0.27,2.21,6.38,0.36,51.00,2020-11-16
10年期国债期货2012-择时,0.77,-7.24,-5.39,4.53,0.47,6,11,4.25,0.20,233,0.27,0.35,2.83,0.18,49.07,做空
郑PTA101,-6.36,-68.98,-50.87,69.40,-2.43,10,9,20.86,-0.21,633,1.34,-3.86,23.86,-0.30,49.91,2020-11-16
郑PTA101-择时,18.04,-38.84,-25.44,101.93,20.84,9,11,20.83,0.90,781,1.33,22.43,56.57,0.87,49.88,做空
5年期国债期货2012,0.55,-5.42,-4.83,7.77,1.23,13,9,3.03,0.20,793,0.19,1.63,3.88,0.18,51.86,2020-11-16
5年期国债期货2012-择时,0.74,-5.74,-5.41,6.55,0.75,11,11,3.03,0.26,1183,0.19,0.85,3.98,0.25,49.50,做空
2年期国债期货2012,1.16,-2.32,0.60,3.68,1.59,7,7,1.13,1.03,77,0.07,1.47,2.75,1.03,53.94,2020-11-16
2年期国债期货2012-择时,1.50,-0.76,-0.47,3.59,1.59,7,7,1.13,1.32,249,0.07,1.34,3.33,1.32,50.39,做空
郑尿素101,11.63,-12.99,-3.49,18.48,4.60,6,10,18.37,0.69,217,1.18,3.32,13.06,0.63,53.26,2020-11-16
郑尿素101-择时,21.05,-14.85,9.23,33.54,18.06,10,8,18.34,1.14,75,1.17,14.23,29.86,1.15,53.61,做多
连PVC2101,-1.86,-65.64,-36.90,86.89,-1.92,9,9,17.10,-0.02,35,1.09,-4.87,21.58,-0.11,49.22,2020-11-16
连PVC2101-择时,7.92,-24.43,-18.29,56.71,8.32,9,10,17.09,0.53,920,1.09,6.17,30.53,0.46,49.71,做多
郑强麦101,-5.72,-67.86,-35.51,24.45,-5.31,12,9,11.52,-0.45,228,0.74,-4.95,8.60,-0.50,50.09,2020-11-16
郑强麦101-择时,0.87,-39.83,-26.90,49.58,1.57,12,9,11.52,0.13,1430,0.74,-0.83,18.70,0.08,49.09,做空
沪线材2102,9.00,-70.58,-43.70,105.01,13.03,11,8,20.96,0.51,2131,1.34,2.71,59.32,0.43,51.54,2020-11-16
沪线材2102-择时,1.79,-56.02,-35.56,124.14,3.69,9,8,20.97,0.19,166,1.34,-0.53,34.57,0.09,50.80,做空
连豆油2101,-1.02,-79.06,-56.54,124.49,-0.46,11,8,19.19,0.04,95,1.23,-6.35,30.25,-0.05,50.58,2020-11-16
连豆油2101-择时,3.49,-49.35,-28.45,73.01,3.96,12,10,19.19,0.27,960,1.23,3.05,21.74,0.18,49.36,做多
郑动力煤101,8.10,-54.41,-39.66,95.16,12.34,7,11,18.42,0.52,803,1.18,4.46,65.97,0.44,49.76,2020-11-16
郑动力煤101-择时,0.97,-36.75,-24.59,42.68,1.59,11,9,18.43,0.15,176,1.18,-0.09,23.81,0.05,51.84,做多
沪锌2012,-3.33,-78.99,-70.65,97.19,0.52,8,7,23.38,-0.03,7,1.50,-1.23,45.33,-0.14,51.28,2020-11-16
沪锌2012-择时,-0.91,-71.99,-39.63,88.82,-2.01,7,10,23.38,0.08,118,1.50,-3.86,21.95,-0.04,48.43,做多
